,CENEFA,Longitud,Latitud
1072,082A11,-74.133,4.567377
1073,586A11,-74.131,4.565673
1074,081A11,-74.1297,4.564437
1075,352A11,-74.1266,4.5601949999999984
1076,361A11,-74.1253,4.558768
1077,363A11,-74.1236,4.557112999999998
1078,131A12,-74.1214,4.5575160000000015
1079,127A12,-74.1204,4.5553360000000005
1080,128A12,-74.1189,4.552748
1081,559A12,,
1082,249A12,-74.1136,4.548638
1083,251A12,-74.1116,4.548124
1084,267A12,-74.1094,4.548693
1085,438A12,-74.1085,4.550184
1086,293A12,-74.108,4.55179
1087,295A12,,
1088,542A12,-74.1069,4.556476
1479,007A02,-74.0711,4.711424
1552,379A12,-74.0997,4.501812
1554,383A12,-74.1,4.502234
1555,385A12,-74.1015,4.503918
1556,384A12,-74.1021,4.5048580000000005
1557,386A12,-74.1003,4.505366
1558,216A12,-74.0998,4.507731
1559,209A12,-74.1016,4.509428
1560,207A12,-74.1037,4.510045
1561,204A12,-74.1067,4.509142
1562,195A12,-74.1109,4.509393
1563,193A12,-74.1135,4.509592
1564,040A12,,
1565,038A12,,
1566,036A12,-74.1175,4.51836
1567,034A12,-74.1174,4.520352
1568,032A12,-74.118,4.523612
1569,030A12,-74.1194,4.526744
1570,010A12,-74.1189,4.531303
1571,008A12,,
1572,007A12,-74.12100000000002,4.547756
1573,006A12,-74.1213,4.55366
1574,005A12,-74.1222,4.558103
1587,374A11,-74.1297,4.579021
1588,153A10,,
1589,149A10,,
1590,287A10,,
1596,002B09,-74.1364,4.597438
1597,083B09,-74.1346,4.60012
1598,085B09,-74.1333,4.602133
1599,087B09,-74.1308,4.605782
1600,154B08,-74.1283,4.611011
1602,002B08,-74.1272,4.6143410000000005
1603,502B08,-74.1264,4.616812
1604,156B08,-74.1254,4.619929
1605,100B07,-74.1245,4.623074
1606,099B07,-74.1227,4.627785
1607,091B07,-74.1217,4.63022
1608,101B07,-74.1207,4.632669
1609,094B07,-74.1191,4.636305
1610,126B06,-74.1161,4.639085
1611,127B06,-74.1133,4.641963
1612,068B06,-74.1113,4.643984
1613,128B06,-74.1084,4.646946
1614,130D06,-74.1067,4.648962
1615,131B06,-74.1047,4.651557
1616,116B05,-74.101,4.656207
1617,118B05,-74.0969,4.661546
1618,437B05,-74.0952,4.66369
1619,121B05,-74.0912,4.668904
1620,122B05,-74.0895,4.671233
1621,124A05,-74.0863,4.6764519999999985
1622,015B04,-74.085,4.678696
1623,103B04,-74.0824,4.680939
1624,001B04,-74.0805,4.682461
1625,209B03,-74.0764,4.685829
1626,210B03,-74.0747,4.687131
1628,171C03,-74.0693,4.689447
1629,165C03,-74.0669,4.689221
1630,001C00,-74.0643,4.688607
1631,211C00,-74.0604,4.687437
1632,212A00,-74.0527,4.685814
1633,213C00,-74.0508,4.685437
1634,191A01,-74.0451,4.686433999999998
1635,016A01,-74.0425,4.687948
1636,192A01,-74.0405,4.689081
1637,193A01,-74.039,4.689927
1638,195A01,-74.0358,4.691838
1639,196A01,-74.0337,4.695484
1640,013A01,-74.0328,4.698685
1641,012A01,-74.0327,4.701404
1642,199A01,-74.0327,4.704067
1643,011A01,-74.0326,4.706995
1644,200A01,-74.0325,4.708923
1645,202A01,-74.0325,4.711698
1646,261A01,,
1647,047B01,-74.029,4.713496
1648,243B01,-74.0286,4.714943
1649,322A01,-74.0297,4.716567
1650,093A01,-74.0319,4.717526
1651,091A01,-74.0356,4.719037
1652,089A01,-74.0404,4.721051
1653,266A01,-74.0434,4.722304
1654,265A01,-74.0456,4.723219
1655,284A01,-74.0455,4.727458
1656,058A01,-74.0452,4.729158999999999
1657,285A01,-74.0447,4.732019
1658,286A01,-74.0442,4.734036
1659,059A01,-74.0456,4.737182
1660,228A02,,
1661,222A02,-74.0568,4.743901
1662,230A02,,
1663,261A02,,
1664,232A02,-74.0492,4.747074
1665,262A02,-74.0503,4.748596
1666,072A02,-74.0527,4.749046
1667,074A02,-74.0556,4.74937
1668,076A02,-74.0597,4.749843
1669,251A02,-74.0628,4.750361
1670,113A02,-74.0651,4.74664
1671,208A02,,
1672,210A02,,
1673,031A02,-74.0624,4.7357190000000005
1674,003A02,-74.0662,4.736204
1675,003B02,,
1677,110A02,-74.0652,4.740514
1678,052A02,-74.0649,4.742964
1679,315A02,-74.0627,4.746527
1680,309A02,-74.0621,4.7481290000000005
1681,090A02,-74.0592,4.749619
1682,075A02,-74.0555,4.749228
1683,073A02,-74.0518,4.748764
1684,071A02,-74.0479,4.747996
1685,364A02,-74.0475,4.746946
1686,301A02,-74.0481,4.743142
1687,317A01,-74.045,4.7366790000000005
1688,307A01,-74.0444,4.734264
1689,117A01,-74.0449,4.732174
1690,306A01,-74.0452,4.730914
1691,305A01,-74.0458,4.727229
1692,116A01,-74.0462,4.724605
1693,087A01,-74.0452,4.72295
1694,088A01,-74.0434,4.722167
1695,090A01,-74.0409,4.721148
1696,092A01,-74.038,4.71996
1697,094A01,-74.033,4.717872
1698,203A01,-74.0327,4.715244
1699,034A01,-74.0327,4.713863
1700,085A01,-74.0328,4.71146
1701,201A01,-74.0328,4.709812
1702,057A01,-74.0329,4.708007
1703,054A01,-74.033,4.704251
1704,198A01,-74.033,4.70147
1705,197A01,-74.0331,4.698206
1706,055A01,-74.0341,4.695389
1707,056A01,-74.0362,4.691952
1708,194A01,-74.0378,4.691032
1709,014A01,-74.0404,4.689531
1710,015A01,-74.0438,4.687653
1711,017A01,-74.0456,4.686643
1712,242A01,-74.0529,4.686293
1713,122A01,-74.0548,4.686592
1714,093B02,-74.0597,4.687724
1719,175B03,-74.0754,4.6870699999999985
1720,176B03,-74.0784,4.684712
1721,105B04,-74.08,4.683367
1722,104B04,-74.0824,4.681453
1723,102B04,-74.0847,4.679553
1724,125B05,-74.0868,4.676376
1725,123B05,-74.0891,4.672484
1726,120B05,-74.0916,4.668983
1727,119B05,-74.0961,4.663112
1728,210B05,-74.0976,4.661313
1729,117D05,-74.0987,4.659887
1730,115B05,-74.102,4.655646
1731,132B06,-74.105,4.651829
1732,065B06,-74.1066,4.649684
1733,129B06,-74.1096,4.646178
1734,190B06,-74.112,4.64369
1735,002B06,-74.1144,4.641407
1736,001B06,-74.1175,4.638326
1737,095B07,-74.1193,4.636517
1738,072B07,-74.1205,4.633918
1739,096B07,-74.1216,4.63124
1740,097B07,-74.1232,4.627506
1741,098B07,-74.1249,4.622699
1742,001B08,-74.1258,4.619936
1743,501B08,-74.1268,4.6167690000000015
1744,155B08,-74.1277,4.614074
1745,162B08,-74.1286,4.611116
1746,088B09,-74.1302,4.607405
1760,069A11,-74.131,4.577392
1761,068A11,-74.1302,4.575225
1762,067A11,-74.1294,4.572124
1763,076B11,,
1764,079B11,-74.1331,4.569505
1765,452A11,-74.1316,4.56735
1766,420A11,-74.1291,4.567022
1767,036A11,-74.1256,4.564381
1768,037A11,-74.1245,4.561243
1769,579A11,-74.1229,4.55851
1770,038A11,-74.1215,4.5560589999999985
1771,039A11,-74.1215,4.554646
1772,040A11,-74.1212,4.549366
1773,041A11,-74.12100000000002,4.54336
1774,009A12,-74.1203,4.533027
1775,011A12,-74.1215,4.5301269999999985
1776,029A12,-74.1196,4.526694
1777,031A12,-74.1182,4.523761
1778,033A12,-74.1175,4.5202019999999985
1779,035A12,-74.1176,4.518408
1780,037A12,-74.1163,4.51483
1781,039B12,,
1782,189A12,-74.1139,4.509525
1783,194A12,-74.1107,4.509293
1784,203A12,-74.1064,4.509112
1785,206A12,-74.104,4.510031
1786,208A12,-74.1019,4.509428
1787,215A12,-74.0999,4.508675
1788,214A12,-74.1003,4.505732
1789,378A12,-74.1019,4.505301
1790,377A12,-74.1013,4.503538
1939,095A01,-74.0297,4.716482
1940,245A01,-74.0294,4.712098
1941,249A01,-74.0286,4.70631
1942,161A01,-74.0419,4.682066000000002
1943,158A01,-74.0499,4.685775
2487,090A12,-74.1283,4.4683730000000015
2488,093A12,-74.1263,4.469735
2489,094A12,,
2490,097A12,,
2491,099A12,,
2492,552A12,-74.1218,4.478111
2493,101A12,,
2494,103A12,,
2495,105A12,,
2496,107A12,,
2497,109A12,,
2498,157A12,,
2499,063A12,,
2500,059A12,,
2501,042B12,,
2502,040B12,,
2505,197A12,,
2506,113A12,,
2507,117A12,,
2508,019A12,-74.123,4.521338
2509,094A11,-74.1261,4.525658
2510,092A11,-74.127,4.532465
2511,620A11,,
2512,117A11,-74.1335,4.540704
2513,099A11,-74.1366,4.546874
2514,008A11,-74.1366,4.552779
2515,006B11,-74.1372,4.554715
2516,005B11,-74.1386,4.558683
2517,002B11,-74.1387,4.561684
2518,119B11,-74.1389,4.5716790000000005
2519,505B11,-74.1399,4.575474
2520,116B11,-74.1409,4.577566
2521,093B10,-74.1421,4.580343
2522,075B10,-74.1432,4.58455
2523,087B10,-74.1443,4.587368
2524,088B10,-74.145,4.591382
2525,092B09,-74.1448,4.597991
2526,112B09,-74.1435,4.6016580000000005
2527,091B09,-74.1422,4.60536
2528,111B09,-74.141,4.609115
2529,089B09,-74.1405,4.612988
2530,117A08,-74.1419,4.6201360000000005
2531,585A08,-74.1433,4.621435
2532,122A08,-74.1452,4.623119
2533,119A08,-74.1474,4.625197
2534,120A08,-74.1495,4.627134
2535,430A08,-74.1534,4.6306
2536,555A08,-74.1553,4.633375
2537,004A08,-74.1542,4.634914
2538,046A07,-74.1545,4.637711
2539,636A08,-74.158,4.639243
2540,030A08,-74.1594,4.638102
2541,210A08,-74.1612,4.636401
2542,029A08,-74.1625,4.635138
2543,611A08,-74.1643,4.63647
2544,058A08,-74.1656,4.638137
2545,397A08,-74.1685,4.639895
2546,391A08,-74.1715,4.638211
2547,389A08,-74.173,4.639643
2548,400A08,-74.1745,4.6421480000000015
2549,371A08,-74.1762,4.643519
2550,370A08,-74.1778,4.645178
2551,376A08,-74.1785,4.646505
2552,378A08,-74.1775,4.647044
2555,373A08,-74.1763,4.64507
2556,399A08,-74.17399999999998,4.6411120000000015
2557,388A08,-74.1727,4.638782
2558,390A08,-74.1717,4.637929
2559,398A08,-74.1678,4.640259
2560,068A08,-74.1673,4.640168
2561,059A08,-74.165,4.637086
2562,066A08,-74.1634,4.634974
2563,028A08,-74.1621,4.635093
2564,160A08,-74.1585,4.638419
2565,052B08,,
2566,003A08,-74.1541,4.635261
2567,115A08,-74.1555,4.6334610000000005
2568,429A08,-74.1535,4.630447
2569,121A08,-74.1504,4.627694
2570,118A08,-74.1489,4.626345
2571,549A08,-74.1461,4.623754
2572,123A08,-74.145,4.622751999999998
2573,584A08,-74.1435,4.621317
2574,104C09,-74.1442,4.618892
2575,519A09,-74.1416,4.6184650000000005
2576,015A09,-74.1404,4.61608
2577,062A09,-74.141,4.612774
2578,016A09,-74.142,4.6069239999999985
2579,017A09,-74.1436,4.602778
2580,028A09,-74.145,4.59884
2581,050A10,-74.1455,4.592053
2582,001A10,-74.1455,4.589934
2583,003A10,-74.1444,4.586348
2584,353A10,-74.1435,4.5840830000000015
2585,026A10,-74.1428,4.580793
2586,001A11,-74.1413,4.577435
2587,120A11,-74.1399,4.573588
2588,418A11,-74.1395,4.5720480000000014
2589,003A11,-74.1391,4.562056
2590,004A11,-74.1391,4.558724
2591,007A11,-74.1377,4.5546989999999985
2592,009A11,-74.137,4.552597
2593,048A11,-74.1372,4.548088
2594,557A11,-74.137,4.546467
2595,010A11,-74.1338,4.540422
2596,619A11,,
2597,091A11,-74.1275,4.53227
2598,093A11,-74.1266,4.525888
2600,118A12,,
2601,112A12,,
2602,196A12,-74.1176,4.516911
2604,039A12,,
2605,041A12,-74.1143,4.509233999999998
2606,058A12,,
2607,060A12,,
2608,062A12,,
2609,111A12,,
2610,108A12,,
2611,106A12,,
2612,104A12,,
2613,102A12,,
2614,100A12,,
