cenefa,count,lat,lon,cluster
204A08,22,4.62409645019,-74.1488766681,0.0
130A08,22,4.61788095004,-74.1646693348,0.0
231B00,22,4.65029786921,-74.063439506,4.0
183A00,22,4.62378078341,-74.0741793358,0.0
203A08,22,4.62244311605,-74.1503978351,0.0
175A01,21,4.70111276307,-74.0284784201,4.0
106B09,21,4.61640600512,-74.1561149057,0.0
128A08,21,4.61973228322,-74.161518501,4.0
381A00,21,4.63321250401,-74.0637631116,4.0
125A05,21,4.67562511758,-74.0872850021,0.0
108B09,21,4.61587136594,-74.1591860412,0.0
240A01,21,4.71899911913,-74.0278365028,4.0
122A07,21,4.64262209683,-74.1542026883,4.0
233A00,21,4.64162500673,-74.0649016311,0.0
441B04,21,4.70384655961,-74.1163738054,0.0
134A12,21,4.5589119484,-74.1215743356,0.0
226B00,21,4.65796400329,-74.0582896279,4.0
123A08,21,4.62282428274,-74.1450970019,0.0
231A00,21,4.65003581498,-74.0635080562,4.0
353A00,21,4.64289056693,-74.0688856954,0.0
419A11,21,4.57847478239,-74.1287161683,2.0
084A03,21,4.69724611805,-74.0827595026,4.0
229A01,21,4.74175821279,-74.0225075091,4.0
022A07,21,4.63245461711,-74.1127660024,4.0
387A00,21,4.64222449127,-74.0620777612,4.0
077A11,21,4.57004611534,-74.1304471687,4.0
171A01,21,4.6960134335,-74.031664937,4.0
119A05,21,4.66283595078,-74.0964145019,0.0
493A09,21,4.6288986164,-74.1924236682,0.0
129A07,21,4.65303478427,-74.1432478351,4.0
127A07,21,4.65004878376,-74.1463623347,4.0
046A01,21,4.7348322348,-74.0242152349,4.0
134A06,21,4.65931928395,-74.1175716687,4.0
126A05,21,4.68700111785,-74.0949361685,4.0
136A06,21,4.65426745064,-74.1217926683,4.0
377A00,21,4.63904103163,-74.0629058892,4.0
280A09,21,4.62757611695,-74.1921105014,0.0
229B00,21,4.65328431941,-74.0612573011,4.0
207B05,21,4.70163345137,-74.1336233351,0.0
046A05,21,4.70022609411,-74.1308388503,4.0
